index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
0, 0.77866, 0.67987750, 0.31541931, 0.00470319, 1.539984, 0.006994, 0.003497, 0.017724, 0.008862
1, 1.57866, 0.72632582, 0.24541931, 0.02825487, 2.239984, 0.002994, 0.001497, 0.007724, 0.003862
2, 1.97866, 0.64769126, 0.35041931, 0.00188943, 2.589984, 0.004994, 0.002497, 0.002724, 0.001362
3, 1.17866, 0.70796688, 0.28041931, 0.01161381, 1.889984, 0.000994, 0.000497, 0.012724, 0.006362
4, 1.37866, 0.66409741, 0.33291931, 0.00298328, 2.064984, 0.001994, 0.000997, 0.000224, 0.000112
5, 2.17866, 0.71891959, 0.26291931, 0.01816110, 1.364984, 0.005994, 0.002997, 0.010224, 0.005112
6, 1.77866, 0.62541826, 0.36791931, 0.00666243, 1.714984, 0.003994, 0.001997, 0.015224, 0.007612
7, 0.97866, 0.66239974, 0.29791931, 0.03968095, 2.414984, 0.007994, 0.003997, 0.005224, 0.002612
8, 1.07866, 0.74408152, 0.25416931, 0.00174917, 1.977484, 0.007494, 0.003747, 0.008974, 0.004487
9, 1.87866, 0.66701317, 0.32416931, 0.00881752, 2.677484, 0.003494, 0.001747, 0.018974, 0.009487
10, 2.27866, 0.70689008, 0.28916931, 0.00394061, 2.327484, 0.005494, 0.002747, 0.013974, 0.006987
11, 1.47866, 0.62135244, 0.35916931, 0.01947825, 1.627484, 0.001494, 0.000747, 0.003974, 0.001987
12, 1.27866, 0.75683370, 0.23666931, 0.00649699, 2.502484, 0.000494, 0.000247, 0.011474, 0.005737
13, 2.07866, 0.66140226, 0.30666931, 0.03192843, 1.802484, 0.004494, 0.002247, 0.001474, 0.000737
14, 1.67866, 0.72570362, 0.27166931, 0.00262707, 1.452484, 0.002494, 0.001247, 0.006474, 0.003237
15, 0.87866, 0.64519648, 0.34166931, 0.01313421, 2.152484, 0.006494, 0.003247, 0.016474, 0.008237
16, 0.82866, 0.63389942, 0.36354431, 0.00255627, 2.633734, 0.004244, 0.002122, 0.013349, 0.006674
17, 1.62866, 0.69079058, 0.29354431, 0.01566510, 1.933734, 0.000244, 0.000122, 0.003349, 0.001674
18, 2.02866, 0.66509549, 0.32854431, 0.00636020, 1.583734, 0.006244, 0.003122, 0.008349, 0.004174
19, 1.22866, 0.70361806, 0.25854431, 0.03783762, 2.283734, 0.002244, 0.001122, 0.018349, 0.009174
20, 1.42866, 0.64991973, 0.34604431, 0.00403596, 1.758734, 0.003244, 0.001622, 0.005849, 0.002924
21, 2.22866, 0.69952748, 0.27604431, 0.02442821, 2.458734, 0.007244, 0.003622, 0.015849, 0.007924
22, 1.82866, 0.68715623, 0.31104431, 0.00179946, 2.108734, 0.001244, 0.000622, 0.010849, 0.005424
23, 1.02866, 0.74794145, 0.24104431, 0.01101424, 1.408734, 0.005244, 0.002622, 0.000849, 0.000424
24, 0.92866, 0.72411272, 0.26729431, 0.00859297, 2.196234, 0.005744, 0.002872, 0.004599, 0.002299
25, 1.72866, 0.62124829, 0.33729431, 0.04145740, 1.496234, 0.001744, 0.000872, 0.014599, 0.007299
26, 2.12866, 0.76388305, 0.23229431, 0.00382264, 1.846234, 0.007744, 0.003872, 0.019599, 0.009799
27, 1.32866, 0.67860907, 0.30229431, 0.01909662, 2.546234, 0.003744, 0.001872, 0.009599, 0.004799
28, 1.12866, 0.71288905, 0.28479431, 0.00231664, 1.321234, 0.002744, 0.001372, 0.017099, 0.008549
29, 1.92866, 0.63362671, 0.35479431, 0.01157898, 2.021234, 0.006744, 0.003372, 0.007099, 0.003549
30, 1.52866, 0.74446871, 0.24979431, 0.00573698, 2.371234, 0.000744, 0.000372, 0.002099, 0.001049
31, 0.72866, 0.65195341, 0.31979431, 0.02825228, 1.671234, 0.004744, 0.002372, 0.012099, 0.006049
32, 0.74116, 0.65482199, 0.33838806, 0.00678995, 2.382172, 0.005181, 0.002591, 0.007568, 0.003784
33, 1.54116, 0.69130210, 0.26838806, 0.04030983, 1.682172, 0.001181, 0.000591, 0.017568, 0.008784
34, 1.94116, 0.69357917, 0.30338806, 0.00303277, 1.332172, 0.007181, 0.003591, 0.012568, 0.006284
35, 1.14116, 0.74821401, 0.23338806, 0.01839793, 2.032172, 0.003181, 0.001591, 0.002568, 0.001284
36, 1.34116, 0.64228816, 0.35588806, 0.00182378, 1.857172, 0.002181, 0.001091, 0.010068, 0.005034
37, 2.14116, 0.70288841, 0.28588806, 0.01122353, 2.557172, 0.006181, 0.003091, 0.000068, 0.000034
38, 1.74116, 0.67456970, 0.32088806, 0.00454224, 2.207172, 0.000181, 0.000091, 0.005068, 0.002534
39, 0.94116, 0.72178136, 0.25088806, 0.02733058, 1.507172, 0.004181, 0.002091, 0.015068, 0.007534
40, 1.04116, 0.70288521, 0.29463806, 0.00247672, 2.119672, 0.004681, 0.002341, 0.018818, 0.009409
41, 1.84116, 0.62301689, 0.36463806, 0.01234505, 1.419672, 0.000681, 0.000341, 0.008818, 0.004409
42, 2.24116, 0.73422681, 0.25963806, 0.00613512, 1.769672, 0.006681, 0.003341, 0.003818, 0.001909
43, 1.44116, 0.64027621, 0.32963806, 0.03008573, 2.469672, 0.002681, 0.001341, 0.013818, 0.006909
44, 1.24116, 0.71896074, 0.27713806, 0.00390120, 1.594672, 0.003681, 0.001841, 0.001318, 0.000659
45, 2.04116, 0.63353065, 0.34713806, 0.01933129, 2.294672, 0.007681, 0.003841, 0.011318, 0.005659
46, 1.64116, 0.75613176, 0.24213806, 0.00173018, 2.644672, 0.001681, 0.000841, 0.016318, 0.008159
47, 0.84116, 0.67912334, 0.31213806, 0.00873860, 1.944672, 0.005681, 0.002841, 0.006318, 0.003159
48, 0.89116, 0.67302141, 0.32526306, 0.00171552, 1.463422, 0.007931, 0.003966, 0.003193, 0.001596
49, 1.69116, 0.73421272, 0.25526306, 0.01052422, 2.163422, 0.003931, 0.001966, 0.013193, 0.006596
50, 2.09116, 0.63589321, 0.36026306, 0.00384373, 2.513422, 0.005931, 0.002966, 0.018193, 0.009096
51, 1.29116, 0.68640512, 0.29026306, 0.02333182, 1.813422, 0.001931, 0.000966, 0.008193, 0.004096
52, 1.49116, 0.68585285, 0.30776306, 0.00638409, 2.338422, 0.000931, 0.000466, 0.015693, 0.007846
53, 2.29116, 0.72432287, 0.23776306, 0.03791406, 1.638422, 0.004931, 0.002466, 0.005693, 0.002846
54, 1.89116, 0.65466720, 0.34276306, 0.00256974, 1.988422, 0.002931, 0.001466, 0.000693, 0.000346
55, 1.09116, 0.71153107, 0.27276306, 0.01570587, 2.688422, 0.006931, 0.003466, 0.010693, 0.005346
56, 0.99116, 0.74787713, 0.24651306, 0.00560981, 1.725922, 0.006431, 0.003216, 0.014443, 0.007221
57, 1.79116, 0.65582356, 0.31651306, 0.02766337, 2.425922, 0.002431, 0.001216, 0.004443, 0.002221
58, 2.19116, 0.71622143, 0.28151306, 0.00226551, 2.075922, 0.004431, 0.002216, 0.009443, 0.004721
59, 1.39116, 0.63715349, 0.35151306, 0.01133345, 1.375922, 0.000431, 0.000216, 0.019443, 0.009721
60, 1.19116, 0.73241932, 0.26401306, 0.00356761, 2.600922, 0.001431, 0.000716, 0.006943, 0.003471
61, 1.99116, 0.64823083, 0.33401306, 0.01775611, 1.900922, 0.005431, 0.002716, 0.016943, 0.008471
62, 1.59116, 0.69298233, 0.29901306, 0.00800461, 1.550922, 0.003431, 0.001716, 0.011943, 0.005971
63, 0.79116, 0.59250057, 0.36901306, 0.03848637, 2.250922, 0.007431, 0.003716, 0.001943, 0.000971
64, 0.76616, 0.72171864, 0.27495056, 0.00333080, 1.791547, 0.000056, 0.000028, 0.016630, 0.008315
65, 1.56616, 0.63847925, 0.34495056, 0.01657019, 2.491547, 0.004056, 0.002028, 0.006630, 0.003315
66, 1.96616, 0.75182142, 0.23995056, 0.00822802, 2.141547, 0.002056, 0.001028, 0.001630, 0.000815
67, 1.16616, 0.65004362, 0.30995056, 0.04000582, 1.441547, 0.006056, 0.003028, 0.011630, 0.005815
68, 1.36616, 0.70255644, 0.29245056, 0.00499300, 2.666547, 0.007056, 0.003528, 0.004130, 0.002065
69, 2.16616, 0.61304889, 0.36245056, 0.02450055, 1.966547, 0.003056, 0.001528, 0.014130, 0.007065
70, 1.76616, 0.74033070, 0.25745056, 0.00221874, 1.616547, 0.005056, 0.002528, 0.019130, 0.009565
71, 0.96616, 0.66140273, 0.32745056, 0.01114671, 2.316547, 0.001056, 0.000528, 0.009130, 0.004565
72, 1.06616, 0.64064940, 0.35370056, 0.00565003, 1.354047, 0.001556, 0.000778, 0.005380, 0.002690
73, 1.86616, 0.68245371, 0.28370056, 0.03384573, 2.054047, 0.005556, 0.002778, 0.015380, 0.007690
