KIC,Teff_spec,e_Teff_spec,[M/H],e_[M/H],Dnu,e_Dnu,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,astrometric_params_solved,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,rpgeo,ebv,phot_g_mean_mag_corr,logg,Teff,e_Teff,luminosity,e_luminosity,numax_yu,e_numax_yu,numax,e_numax
1027337,4635.539,100,0.23118845,0.06,6.937,0.014,291.3341969676259,0.0095583815,36.78659971011307,0.010948698,0.7535090149684879,0.012313737,12.639551,11.307577,12.040522,31,1.4454643,,57.796400942456586,10.326,0.022,9.766,0.022,9.628,0.018,1300.54846,0.08,12.040522,2.770453450844106,4633,100,27.25318790968788,1.4404310150814812,74.21,0.68,73.23925249079026,0.611628062017589
1163359,4578.984,100,-0.41342154,0.06,2.642,0.015,291.49329203238824,0.010811771,36.84878141795031,0.012707587,0.4138685533227532,0.013734605,12.584608,11.245326,11.984016,31,1.4456687,,57.82150781677535,10.264,0.021,9.65,0.019,9.558,0.019,2258.33228,0.08,11.984016,2.228347633670549,4585,100,89.66097883597851,7.896483061504668,21.43,0.41,21.1696136811234,0.274592560384993
1294122,4805.9585,100,-0.05419755,0.06,7.022,0.016,291.2798932851551,0.0070213517,36.90697293151617,0.008370019,0.7606062584199617,0.009210076,12.465071,11.201093,11.905418,31,1.4590774,,57.92405294198178,10.265,0.021,9.744,0.02,9.642,0.018,1266.42419,0.08,11.905418,2.7864675808021984,4759,100,27.66984843072677,1.2248665663070533,75.62,0.84,73.86125828996947,0.634861530586303
1294385,4823.562,100,0.079879455,0.06,9.09,0.016,291.3395427686488,0.0085586365,36.90271759682975,0.009413204,1.5610254117167115,0.010487463,11.149885,9.947653,10.624201,95,,1.4742403,57.90697743745339,9.085,0.018,8.595,0.021,8.465,0.018,630.985229,0.04,10.624201,2.9372367472567875,4818,100,20.79152447056716,0.7357362070353872,106.81,1.08,104.4099565023402,0.905507972705008
1296068,4586.5454,100,-0.01016955,0.06,6.14,0.013,291.6867203755868,0.008104507,36.97083995710188,0.009816385,0.5942999069120769,0.01084808,13.458665,12.023516,12.800625,31,1.4284673,,57.89630487920745,10.986,0.022,10.401,0.021,10.265,0.019,1648.3833,0.099999994,12.800625,2.672638437073201,4510,100,23.087333131049053,1.3136835825713984,59.56,0.49,58.5267405314833,0.357769696276373
1296507,4913.7866,100,-0.01884455,0.06,10.333,0.019,291.78385981289614,0.009512884,36.95599888551629,0.0114572765,0.6168300307822636,0.01250895,13.326057,12.113468,12.795736,31,1.4703066,,57.860542245801206,11.24,0.027,10.719,0.029,10.624,0.019,1588.10071,0.14,12.795736,3.0151513546366173,5010,100,20.69836203502438,1.2970599501078368,126.62,2.42,123.5302257084476,1.43593037930827
1429505,4682.17,100,-0.10284155,0.06,5.755,0.01,290.73697859533297,0.008114502,37.03683101147868,0.009258289,0.7923966648641775,0.010002147,12.561111,11.171025,11.930394,31,1.4355061,,58.16598023759081,10.172,0.021,9.591,0.021,9.472,0.017,1222.55713,0.14999999,11.930394,2.648642998549747,4677,100,29.573897995425703,1.3401391205344415,55.78,0.5,55.07364220172296,0.366663442126147
1431059,4802.1313,100,0.07254245,0.06,13.67,0.018,291.1278866504116,0.0087701315,37.02469177252477,0.009474225,0.7664758624823599,0.010753041,13.677309,12.323194,13.067611,31,1.4418805,,58.07032220700278,11.337,0.021,10.817,0.022,10.69,0.019,1259.20398,0.14999999,13.067611,3.140704816910263,4770,100,10.644148755159842,0.507591328563981,171.02,0.86,170.41995510865542,0.585049357420085
1433593,4799.423,100,0.10902845,0.06,6.241,0.013,291.67910075643704,0.009204334,37.07216935373116,0.010779034,0.8204895802323167,0.011806519,12.08217,10.771565,11.498663,31,1.4518325,,57.99535626737524,9.825,0.021,9.304,0.021,9.168,0.018,1170.81555,0.17999999,11.498663,2.7472647890420867,4904,100,41.293667069207665,2.0168481640067597,69.14,0.59,65.95699845308056,0.601997378472492
1433730,4732.079,100,-0.079364546,0.06,4.085,0.019,291.7091753214863,0.008325909,37.05150634922165,0.010304732,0.9016683661632224,0.011225855,11.512029,10.099966,10.869442,31,1.4332563,,57.96884800925969,9.097,0.022,8.507,0.018,8.39,0.018,1077.03821,0.16,10.869442,2.5105256422220763,4666,100,61.98476402157343,2.819064411775603,40.37,0.54,38.96680649321555,0.437795088346787
1433803,4735.8457,100,0.23572846,0.06,12.178,0.015,291.72570630878766,0.008906871,37.03846643288156,0.010655472,2.5376460812542923,0.011726451,10.70855,9.456489,10.152799,31,1.4616588,,57.95265921016424,8.538,0.02,8.046,0.02,7.942,0.018,390.953979,0.03,10.152799,3.0811360831889325,4718,100,11.96738960822908,0.4114611956240717,150.14,1.04,150.12379634181949,0.605001626167788
1569842,4820.049,100,-0.27627155,0.06,11.768,0.018,290.6215822020793,0.009122543,37.174540900244665,0.010217928,1.6035768426082415,0.011124568,11.572157,10.41527,11.073869,31,1.480734,,58.32325796363169,9.589,0.022,9.074,0.016,8.989,0.018,612.783813,0.07,11.073869,3.038864729899298,4959,100,13.264814751412594,0.4954307310344541,135.02,0.65,133.9701631916314,0.565901718633171
1572175,4737.464,100,-0.048184548,0.06,5.369,0.012,291.14960811775524,0.008291917,37.105632339739095,0.00995467,0.6662652094174603,0.010670084,12.427097,11.071624,11.816469,31,1.442015,,58.14351621609547,10.078,0.021,9.509,0.02,9.361,0.017,1434.85461,0.14999999,11.816469,2.653211987630527,4715,100,45.82081477386142,2.3416798815449944,56.04,0.67,54.53415881009855,0.418889451097198
1717618,4913.6255,100,0.06142745,0.06,9.673,0.016,290.59640585080854,0.015390118,37.20577620774794,0.018864904,0.6480735303632758,0.020077832,12.200074,10.993751,11.674298,31,1.4716017,,58.3587116375574,10.109,0.021,9.619,0.016,9.527,0.018,1480.73706,0.12,11.674298,2.993665012546932,4982,100,47.52707406178095,4.004580848666894,120.51,1.17,118.7303278973414,0.766003546387719
1719422,4939.2964,100,-0.28475153,0.06,11.316,0.017,291.0363627795833,0.0101264445,37.20704817034571,0.012289502,0.6280306132447818,0.013139272,13.482391,12.197266,12.913325,31,1.4559879,,58.26563911360606,11.275,0.021,10.747,0.022,10.652,0.018,1551.3822,0.17,12.913325,3.0475358285743663,4941,100,19.031497885665793,1.1810357865952383,136.07,0.8,135.62097301228638,0.63277965707691
1720241,5054.165,100,-0.16805154,0.06,15.984,0.035,291.2469061646997,0.010725704,37.24169047530276,0.012549068,0.874868724624073,0.013626071,13.5563,12.188326,12.93981,31,1.441053,,58.2532476499069,11.225,0.021,10.721,0.023,10.599,0.02,1120.44421,0.17,12.93981,3.2452243646668664,4823,100,9.768307215108877,0.4992397890561824,212.06,2.91,211.44617494890565,0.651139284720376
1723752,5010.734,100,-0.15491155,0.06,15.042,0.075,292.0057097420336,0.006821062,37.29981938760472,0.008323603,0.964338468920796,0.008838147,12.841152,11.64237,12.318432,31,1.4725052,,58.14110449388632,10.777,0.022,10.288,0.021,10.185,0.018,1023.5163,0.0740379,12.318432,3.2119746330676935,4901,100,11.871382190716124,0.4802654653824065,197.28,0.86,196.40881053474695,0.840085611184984
1723843,4959.6084,100,-0.23885155,0.06,9.41,0.023,292.01883942322746,0.008346518,37.23181963086892,0.009943612,0.7722630467042997,0.011124562,12.7863455,11.503056,12.218963,31,1.4567072,,58.072919697994,10.54,0.023,10.02,0.022,9.873,0.019,1281.44836,0.13,12.218963,2.948088348555171,4802,100,23.93910817348393,1.1912466120720175,108.0,0.77,109.45847764985646,0.481828659580748
1726291,4804.5894,100,-0.38607156,0.06,12.864,0.024,292.5213808164403,0.009482606,37.29640835724047,0.010883355,0.8494214560476265,0.012408791,13.448431,12.148189,12.873061,31,1.4537629,,58.020909363275614,11.206,0.024,10.679,0.022,10.547,0.025,1160.26038,0.14,12.873061,3.083251859801098,4822,100,10.691359407723567,0.5387999107621706,149.79,0.88,149.40593621153036,0.586399455349675
1864183,4608.8945,100,0.15146846,0.06,5.505,0.015,290.4821193054159,0.009354966,37.37245066831578,0.011200387,1.0280045236392883,0.011664641,11.941761,10.546872,11.30914,31,1.4355656,,58.54360013534956,9.569,0.022,8.998,0.018,8.835,0.018,944.687073,0.12,11.30914,2.63209707105593,4631,100,30.401979650108203,1.3241147187637117,54.12,0.48,53.260557822072,0.421643299315541
1864855,4923.739,100,-0.05316055,0.06,10.444,0.011,290.6365983498323,0.009946403,37.34553501856506,0.011506024,1.144080758875356,0.012657713,12.074826,10.808391,11.515633,31,1.4594034,,58.48482440769759,9.908,0.022,9.391,0.021,9.299,0.018,848.23468,0.12,11.515633,3.0092333927052075,4881,100,18.52048212431533,0.7983586078124034,124.78,1.45,123.30930786324792,1.16327904094334
1865262,4786.109,100,-0.31148154,0.06,5.571,0.012,290.7331514920072,0.0071892575,37.37740726234412,0.008226973,0.5784263518034349,0.009071274,13.082601,11.723645,12.471404,31,1.4427327,,58.49489227407993,10.719,0.021,10.138,0.016,10.042,0.018,1702.9834,0.14999999,12.471404,2.634554770152614,4704,100,34.42366115311575,1.769319743480576,53.41,0.44,52.70022629747323,0.353493061044891
